movieId,title,genres
1000001,گاو (1969),Drama
1000002,قیصر (1969),Crime|Drama
1000003,گوزن‌ها (1974),Crime|Drama
1000004,خانه دوست کجاست؟ (1987),Drama
1000005,اجاره‌نشین‌ها (1987),Comedy
1000006,باشو غریبه کوچک (1989),Drama|War
1000007,کلوزآپ (1990),Documentary|Drama
1000008,هامون (1990),Drama
1000009,مادر (1991),Drama
1000010,گبه (1996),Drama|Romance
1000011,لیلی با من است (1996),Comedy|War
1000012,بچه‌های آسمان (1997),Children|Drama
1000013,طعم گیلاس (1997),Drama
1000014,رنگ خدا (1999),Drama
1000015,باد ما را خواهد برد (1999),Drama
1000016,باران (2001),Drama|Romance
1000017,مارمولک (2004),Comedy|Drama
1000018,مهمان مامان (2004),Comedy|Drama
1000019,لاک‌پشت‌ها هم پرواز می‌کنند (2004),Drama|War
1000020,چهارشنبه‌سوری (2006),Drama|Mystery
1000021,آواز گنجشک‌ها (2008),Drama
1000022,درباره الی (2009),Drama|Mystery
1000023,جدایی نادر از سیمین (2011),Drama
1000024,گذشته (2013),Drama|Mystery
1000025,ابد و یک روز (2016),Drama
1000026,فروشنده (2016),Drama|Thriller
1000027,متری شیش و نیم (2019),Crime|Drama|Thriller
1000028,خورشید (2020),Children|Drama
1000029,قهرمان (2021),Drama
1000030,برادران لیلا (2022),Drama
